Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,126.9,126.94,125.99,126.6,118.07,30238800
2015-07-02,126.43,126.69,125.77,126.44,117.92,27211000
2015-07-06,124.94,126.23,124.85,126.0,117.51,28060400
2015-07-07,125.89,126.15,123.77,125.69,117.22,46946800
2015-07-08,124.48,124.64,122.54,122.57,114.31,60761600
2015-07-09,123.85,124.06,119.22,120.07,111.98,77821600
2015-07-10,121.94,123.85,121.21,123.28,114.97,61354500
2015-07-13,125.03,125.76,124.32,125.66,117.19,41440500
2015-07-14,126.04,126.37,125.04,125.61,117.14,31768100
2015-07-15,125.72,127.15,125.58,126.82,118.27,33649200
2015-07-16,127.74,128.57,127.35,128.51,119.85,36222400
2015-07-17,129.08,129.62,128.31,129.62,120.88,46164700
2015-07-20,130.97,132.97,130.7,132.07,123.17,58900200
2015-07-21,132.85,132.92,130.32,130.75,121.94,76756400
2015-07-22,121.99,125.5,121.99,125.22,116.78,115450600
2015-07-23,126.2,127.09,125.06,125.16,116.73,50999500
2015-07-24,125.32,125.74,123.9,124.5,116.11,42162300
2015-07-27,123.09,123.61,122.12,122.77,114.5,44455500
2015-07-28,123.38,123.91,122.55,123.38,115.07,33618100
2015-07-29,123.15,123.5,122.27,122.99,114.7,37011700
2015-07-30,122.32,122.57,121.71,122.37,114.12,33628300
2015-07-31,122.6,122.64,120.91,121.3,113.13,42885000
2015-08-03,121.5,122.57,117.52,118.44,110.46,69976000
2015-08-04,117.42,117.7,113.25,114.64,106.91,124138600
2015-08-05,112.95,117.44,112.1,115.4,107.62,99312600
2015-08-06,115.97,116.5,114.12,115.13,107.86,52903000
2015-08-07,114.58,116.25,114.5,115.52,108.22,38670400
2015-08-10,116.53,119.99,116.53,119.72,112.16,54951600
2015-08-11,117.81,118.18,113.33,113.49,106.32,97082800
2015-08-12,112.53,115.42,109.63,115.24,107.96,101217500
2015-08-13,116.04,116.4,114.54,115.15,107.88,48535800
2015-08-14,114.32,116.31,114.01,115.96,108.63,42929500
2015-08-17,116.04,117.65,115.5,117.16,109.76,40884700
2015-08-18,116.43,117.44,116.01,116.5,109.14,34560700
2015-08-19,116.1,116.52,114.68,115.01,107.74,47445700
2015-08-20,114.08,114.35,111.63,112.65,105.53,68501600
2015-08-21,110.43,111.9,105.65,105.76,99.08,128275500
2015-08-24,94.87,108.8,92.0,103.12,96.61,162206300
2015-08-25,111.11,111.11,103.5,103.74,97.19,103601600
2015-08-26,107.09,109.89,105.05,109.69,102.76,96774600
2015-08-27,112.23,113.24,110.02,112.92,105.79,84616100
2015-08-28,112.17,113.31,111.54,113.29,106.13,53164400
2015-08-31,112.03,114.53,112.0,112.76,105.64,56229300
2015-09-01,110.15,111.88,107.36,107.72,100.92,76845900
2015-09-02,110.23,112.34,109.13,112.34,105.24,61888800
2015-09-03,112.49,112.78,110.04,110.37,103.4,53233900
2015-09-04,108.97,110.45,108.51,109.27,102.37,49996300
2015-09-08,111.75,112.56,110.32,112.31,105.22,54843600
2015-09-09,113.76,114.02,109.77,110.15,103.19,85010800
2015-09-10,110.27,113.28,109.9,112.57,105.46,62892800
2015-09-11,111.79,114.21,111.76,114.21,107.0,49915500
2015-09-14,116.58,116.89,114.86,115.31,108.03,58363400
2015-09-15,115.93,116.53,114.42,116.28,108.93,43341200
2015-09-16,116.25,116.54,115.44,116.41,109.06,37173500
2015-09-17,115.66,116.49,113.72,113.92,106.72,64112600
2015-09-18,112.21,114.3,111.87,113.45,106.28,74285300
2015-09-21,113.67,115.37,113.66,115.21,107.93,50222000
2015-09-22,113.38,114.18,112.52,113.4,106.24,50346200
2015-09-23,113.63,114.72,113.3,114.32,107.1,35756700
2015-09-24,113.25,115.5,112.37,115.0,107.74,50219500
2015-09-25,116.44,116.69,114.02,114.71,107.46,56151900
2015-09-28,113.85,114.57,112.44,112.44,105.34,52109000
2015-09-29,112.83,113.51,107.86,109.06,102.17,73365400
2015-09-30,110.17,111.54,108.73,110.3,103.33,66473000
2015-10-01,109.07,109.62,107.31,109.58,102.66,63929100
2015-10-02,108.01,111.01,107.55,110.38,103.41,58019800
2015-10-05,109.88,111.37,109.07,110.78,103.78,52064700
2015-10-06,110.63,111.74,109.77,111.31,104.28,48196800
2015-10-07,111.74,111.77,109.41,110.78,103.78,46765600
2015-10-08,110.19,110.19,108.21,109.5,102.58,61979600
2015-10-09,110.0,112.28,109.49,112.12,105.04,52766100
2015-10-12,112.73,112.75,111.44,111.6,104.55,30467200
2015-10-13,110.82,112.45,110.68,111.79,104.73,33049300
2015-10-14,111.29,111.52,109.56,110.21,103.25,44462400
2015-10-15,110.93,112.1,110.49,111.86,104.79,37673500
2015-10-16,111.78,112.0,110.53,111.04,104.03,39232600
2015-10-19,110.8,111.75,110.11,111.73,104.67,29759200
2015-10-20,111.34,114.17,110.82,113.77,106.58,48778800
2015-10-21,114.0,115.58,113.7,113.76,106.57,41795200
2015-10-22,114.33,115.5,114.1,115.5,108.2,41654100
2015-10-23,116.7,119.23,116.33,119.08,111.56,59366900
2015-10-26,118.08,118.13,114.92,115.28,108.0,66333800
2015-10-27,115.4,116.54,113.99,114.55,107.31,69884400
2015-10-28,116.93,119.3,116.06,119.27,111.74,85551400
2015-10-29,118.7,120.69,118.27,120.53,112.92,51227300
2015-10-30,120.99,121.22,119.45,119.5,111.95,49365300
2015-11-02,120.8,121.36,119.61,121.18,113.52,32203300
2015-11-03,120.79,123.49,120.7,122.57,114.83,45519000
2015-11-04,123.13,123.82,121.62,122.0,114.29,44886100
2015-11-05,121.85,122.69,120.18,120.92,113.77,39552700
2015-11-06,121.11,121.81,120.62,121.06,113.9,33042300
2015-11-09,120.96,121.81,120.05,120.57,113.44,33871400
2015-11-10,116.9,118.07,116.06,116.77,109.86,59127900
2015-11-11,116.37,117.42,115.21,116.11,109.24,45218000
2015-11-12,116.26,116.82,115.65,115.72,108.87,32525600
2015-11-13,115.2,115.57,112.27,112.34,105.69,45812400
2015-11-16,111.38,114.24,111.0,114.18,107.43,38106700
2015-11-17,114.92,115.05,113.32,113.69,106.96,27616900
2015-11-18,115.76,117.49,115.5,117.29,110.35,46674700
2015-11-19,117.64,119.75,116.76,118.78,111.75,43295800
2015-11-20,119.2,119.92,118.85,119.3,112.24,34287100
2015-11-23,119.27,119.73,117.34,117.75,110.78,32482500
